czas;sterowanie;pozycja;generator PRBS
5,303;-1;3,1;-13,53716
5,304;-1;3,075;-13,53716
5,305;-1;3;-13,53716
5,306;-1;2,925;-13,53716
5,307;-1;2,875;-13,53716
5,308;-1;2,6;-13,53716
5,309;-1;2,5;-13,53716
5,31;-1;2,4;-13,53716
5,311;-1;2,25;-13,53716
5,312;-1;2,2;-13,53716
5,313;-1;2,15;-13,53716
5,314;-1;2,1;-13,53716
5,315;-1;2,025;-13,53716
5,316;-1;1,95;-13,53716
5,317;-1;1,75;-13,53716
5,318;-1;1,625;-13,53716
5,319;-1;1,5;-13,53716
5,32;-1;1,35;-13,53716
5,321;-1;1,35;-13,53716
5,322;-1;1,25;-13,53716
5,323;-1;1,15;-13,53716
5,324;-1;1,1;-13,53716
5,325;-1;1,05;-13,53716
5,326;-1;0,9;-13,53716
5,327;-1;0,75;-13,53716
5,328;-1;0,7;-13,53716
5,329;-1;0,45;-13,53716
5,33;-1;0,375;-13,53716
5,331;-1;0,3;-13,53716
5,332;-1;0,225;-13,53716
5,333;-1;0,2;-13,53716
5,334;-1;0,15;-13,53716
5,335;-1;-0,025;-13,53716
5,336;-1;-0,15;-13,53716
5,337;-1;-0,35;-13,53716
5,338;-1;-0,45;-13,53716
5,339;-1;-0,55;-13,53716
5,34;-1;-0,675;-13,53716
5,341;-1;-0,7;-13,53716
5,342;-1;-0,75;-13,53716
5,343;-1;-0,85;-13,53716
5,344;-1;-0,925;-13,53716
5,345;-1;-1,025;-13,53716
5,346;-1;-1,25;-13,53716
5,347;-1;-1,35;-13,53716
5,348;-1;-1,45;-13,53716
5,349;-1;-1,55;-13,53716
5,35;-1;-1,65;-13,53716
5,351;-1;-1,7;-13,53716
5,352;-1;-1,725;-13,53716
5,353;-1;-1,85;-13,53716
5,354;-1;-1,95;-13,53716
5,355;-1;-2,15;-13,53716
5,356;-1;-2,25;-13,53716
5,357;-1;-2,35;-13,53716
5,358;-1;-2,525;-13,53716
5,359;-1;-2,575;-13,53716
5,36;-1;-2,625;-13,53716
5,361;-1;-2,725;-13,53716
5,362;-1;-2,775;-13,53716
5,363;-1;-2,85;-13,53716
5,364;-1;-3;-13,53716
5,365;-1;-3,15;-13,53716
5,366;-1;-3,25;-13,53716
5,367;-1;-3,45;-13,53716
5,368;-1;-3,5;-13,53716
5,369;-1;-3,525;-13,53716
5,37;-1;-3,6;-13,53716
5,371;-1;-3,7;-13,53716
5,372;-1;-3,75;-13,53716
5,373;-1;-3,95;-13,53716
5,374;-1;-4,05;-13,53716
5,375;-1;-4,1;-13,53716
5,376;-1;-4,35;-13,53716
5,377;-1;-4,425;-13,53716
5,378;-1;-4,5;-13,53716
5,379;-1;-4,6;-13,53716
5,38;-1;-4,65;-13,53716
5,381;-1;-4,7;-13,53716
5,382;-1;-4,85;-13,53716
5,383;-1;-4,95;-13,53716
5,384;-1;-5,05;-13,53716
5,385;-1;-5,25;-13,53716
5,386;-1;-5,35;-13,53716
5,387;-1;-5,425;-13,53716
5,388;-1;-5,525;-13,53716
5,389;-1;-5,575;-13,53716
5,39;-1;-5,625;-13,53716
5,391;-1;-5,75;-13,53716
5,392;-1;-5,85;-13,53716
5,393;-1;-5,95;-13,53716
5,394;-1;-6,15;-13,53716
5,395;-1;-6,25;-13,53716
5,396;-1;-6,35;-13,53716
5,397;-1;-6,475;-13,53716
5,398;-1;-6,525;-13,53716
5,399;-1;-6,55;-13,53716
5,4;-1;-6,675;-13,53716
5,401;-1;-6,75;-13,53716
5,402;-1;-6,85;-13,53716
5,403;-1;-7,05;-13,53716
5,404;-1;-7,15;-13,53716
5,405;-1;-7,25;-13,53716
