czas;sterowanie;pozycja;generator PRBS
5,406;-1;-7,4;-13,53716
5,407;-1;-7,45;-13,53716
5,408;-1;-7,5;-13,53716
5,409;-1;-7,6;-13,53716
5,41;-1;-7,65;-13,53716
5,411;-1;-7,75;-13,53716
5,412;-1;-7,95;-13,53716
5,413;-1;-8,05;-13,53716
5,414;-1;-8,1;-13,53716
5,415;-1;-8,3;-13,53716
5,416;-1;-8,375;-13,53716
5,417;-1;-8,425;-13,53716
5,418;-1;-8,525;-13,53716
5,419;-1;-8,575;-13,53716
5,42;-1;-8,65;-13,53716
5,421;-1;-8,825;-13,53716
5,422;-1;-8,925;-13,53716
5,423;-1;-9,05;-13,53716
5,424;-1;-9,225;-13,53716
5,425;-1;-9,3;-13,53716
5,426;-1;-9,35;-13,53716
5,427;-1;-9,45;-13,53716
5,428;-1;-9,5;-13,53716
5,429;-1;-9,575;-13,53716
5,43;-1;-9,725;-13,53716
5,431;-1;-9,825;-13,53716
5,432;-1;-9,925;-13,53716
5,433;-1;-10,125;-13,53716
5,434;-1;-10,2;-13,53716
5,435;-1;-10,275;-13,53716
5,436;-1;-10,375;-13,53716
5,437;-1;-10,425;-13,53716
5,438;-1;-10,475;-13,53716
5,439;-1;-10,625;-13,53716
5,44;-1;-10,725;-13,53716
5,441;-1;-10,825;-13,53716
5,442;-1;-11,025;-13,53716
5,443;-1;-11,125;-13,53716
5,444;-1;-11,2;-13,53716
5,445;-1;-11,3;-13,53716
5,446;-1;-11,35;-13,53716
5,447;-1;-11,4;-13,53716
5,448;-1;-11,525;-13,53716
5,449;-1;-11,6;-13,53716
5,45;-1;-11,7;-13,53716
5,451;-1;-11,9;-13,53716
5,452;-1;-12,025;-13,53716
5,453;-1;-12,1;-13,53716
5,454;-1;-12,25;-13,53716
5,455;-1;-12,3;-13,53716
5,456;-1;-12,35;-13,53716
5,457;-1;-12,45;-13,53716
5,458;-1;-12,525;-13,53716
5,459;-0,93716012;-12,6;-13,53716
5,46;-0,73716012;-12,8;-13,53716
5,461;-0,63716012;-12,9;-13,53716
5,462;-0,53716012;-13;-13,53716
5,463;-0,38716012;-13,15;-13,53716
5,464;-0,33716012;-13,2;-13,53716
5,465;-0,28716012;-13,25;-13,53716
5,466;-0,16216012;-13,375;-13,53716
5,467;-0,11216012;-13,425;-13,53716
5,468;-0,03716012;-13,5;-13,53716
5,469;0,16283988;-13,7;-13,53716
5,47;0,26283988;-13,8;-13,53716
5,471;0,33783988;-13,875;-13,53716
5,472;0,48783988;-14,025;-13,53716
5,473;0,53783988;-14,075;-13,53716
5,474;0,56283988;-14,1;-13,53716
5,475;0,58783988;-14,125;-13,53716
5,476;0,58783988;-14,125;-13,53716
5,477;0,58783988;-14,125;-13,53716
5,478;0,58783988;-14,125;-13,53716
5,479;0,58783988;-14,125;-13,53716
5,48;0,56283988;-14,1;-13,53716
5,481;0,56283988;-14,1;-13,53716
5,482;0,53783988;-14,075;-13,53716
5,483;0,46283988;-14;-13,53716
5,484;0,41283988;-13,95;-13,53716
5,485;0,36283988;-13,9;-13,53716
5,486;0,23783988;-13,775;-13,53716
5,487;0,16283988;-13,7;-13,53716
5,488;0,11283988;-13,65;-13,53716
5,489;-0,01216012;-13,525;-13,53716
5,49;-0,03716012;-13,5;-13,53716
5,491;-0,08716012;-13,45;-13,53716
5,492;-0,16216012;-13,375;-13,53716
5,493;-0,18716012;-13,35;-13,53716
5,494;-0,26216012;-13,275;-13,53716
5,495;-0,33716012;-13,2;-13,53716
5,496;-0,36216012;-13,175;-13,53716
5,497;-0,36216012;-13,175;-13,53716
5,498;-0,31216012;-13,225;-13,53716
